Material,SKU,CountryCode,Currency,cif_jan,cif_feb,cif_mar,cif_apr,cif_may,cif_jun,cif_jul,cif_aug,cif_sep,cif_oct,cif_nov,cif_dec,tnd_jan,tnd_feb,tnd_mar,tnd_apr,tnd_may,tnd_jun,tnd_jul,tnd_aug,tnd_sep,tnd_oct,tnd_nov,tnd_dec,Discounts,focs,Total Discounts,month,year,createdDate,ModifiedDate
416819,Invega 3 mg Extended Release Tab. ,KW,USD,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,41.39,41.39,88.12,88.12,41.39,41.39,88.12,88.12,41.39,41.39,0.00%,8.25%,8.25%,10,2019,,
416821,Invega 6 mg Extended Release Tab. ,KW,USD,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,88.12,48.8,48.8,88.12,88.12,48.8,48.8,88.12,88.12,48.8,48.8,0.00%,8.25%,8.25%,10,2019,,
416823,Invega 9 mg Extended Release Tab. ,KW,USD,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,95.51,0.00%,8.25%,8.25%,10,2019,,
414907,Invokana 100mg ,KW,USD,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,0.00%,8.25%,8.25%,10,2019,,
87518,Risperdal 1 mg/ml Oral Solution,KW,USD,46.52,46.52,46.52,46.52,46.52,46.52,46.52,46.52,46.52,46.52,46.52,46.52,24,24,24,24,24,24,24,24,24,24,24,24,0.00%,8.25%,8.25%,10,2019,,
414908,Invokana 300mg,KW,USD,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,0.00%,8.25%,8.25%,10,2019,,
418515,Motilium 1 mg/ml Oral Suspension 100ml,KW,USD,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.00%,8.25%,8.25%,10,2019,,
32451,Motilium 1 mg/ml Oral Suspension 200ml,KW,USD,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,0.00%,8.25%,8.25%,10,2019,,
418514,Motilium 10 mg Tab. 30s,KW,USD,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0.00%,8.25%,8.25%,10,2019,,
414696,Nizoral Cream 2 %,KW,USD,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.00%,8.25%,8.25%,10,2019,,
377413,Sibelium caps 5mg,KW,USD,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,0.00%,8.25%,8.25%,10,2019,,
,Opsumit 10mg,KW,USD,"3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00","3,900.00",0.00%,8.25%,8.25%,10,2019,,
416009,Pariet 20 mg Tab. 14s,KW,USD,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,0.00%,8.25%,8.25%,10,2019,,
416010,Pariet 20 mg Tab. 28s,KW,USD,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,0.00%,8.25%,8.25%,10,2019,,
140307,Pevaryl Cream 1 % 15g,KW,USD,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,0.00%,8.25%,8.25%,10,2019,,
140309,Pevaryl Cream 1 % 30g,KW,USD,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,0.00%,8.25%,8.25%,10,2019,,
412323,Pevisone Cream ,KW,USD,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,0.00%,8.25%,8.25%,10,2019,,
414050,Resolor 1 mg Film-Coated Tabs.,KW,USD,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,26.33,0.00%,8.25%,8.25%,10,2019,,
414053,Resolor 2 mg Film-Coated Tabs.,KW,USD,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,40.88,40.88,40.88,40.88,40.88,40.88,40.88,40.88,40.88,40.88,40.88,40.88,0.00%,8.25%,8.25%,10,2019,,
,SPORANOX 1% 1X150ML ORSOL. ST.EXP. (2)  ,KW,USD,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,49.05,0.00%,8.25%,8.25%,10,2019,,
376854,Risperdal 1mg Tab. 20s,KW,USD,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,0.00%,8.25%,8.25%,10,2019,,
88081,Risperdal 1mg Tab. 60s,KW,USD,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,0.00%,8.25%,8.25%,10,2019,,
376853,Risperdal 1mg Tab. 6s,KW,USD,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,0.00%,8.25%,8.25%,10,2019,,
376855,Risperdal 2mg Tab. 20s,KW,USD,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,0.00%,8.25%,8.25%,10,2019,,
88082,Risperdal 2mg Tab. 60s,KW,USD,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,0.00%,8.25%,8.25%,10,2019,,
376856,Risperdal 3mg Tab. 20s,KW,USD,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,0.00%,8.25%,8.25%,10,2019,,
376595,Risperdal Consta 25 mg Inj.  ,KW,USD,122.93,122.93,122.93,122.93,122.93,122.93,122.93,122.93,122.93,122.93,122.93,122.93,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,0.00%,8.25%,8.25%,10,2019,,
376596,Risperdal Consta 37.5 mg Inj. ,KW,USD,162.16,162.16,162.16,162.16,162.16,162.16,162.16,162.16,162.16,162.16,162.16,162.16,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,0.00%,8.25%,8.25%,10,2019,,
376597,Risperdal Consta 50 mg Inj.  ,KW,USD,199.59,199.59,199.59,199.59,199.59,199.59,199.59,199.59,199.59,199.59,199.59,199.59,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,0.00%,8.25%,8.25%,10,2019,,
96568,Risperdal 3mg Tab. 60s,KW,USD,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,0.00%,8.25%,8.25%,10,2019,,
376935,Sporanox 100 mg Cap. 15s,KW,USD,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,0.00%,8.25%,8.25%,10,2019,,
96327,Risperdal 4mg Tab. 20s,KW,USD,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,0.00%,8.25%,8.25%,10,2019,,
96569,Risperdal 4mg Tab. 60s,KW,USD,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,0.00%,8.25%,8.25%,10,2019,,
96489,Sporanox 100 mg Cap. 4s,KW,USD,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,0.00%,8.25%,8.25%,10,2019,,
,Spravato 2x28mg,KW,USD,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,313.6,0.00%,8.25%,8.25%,10,2019,,
,Spravato 3x28mg,KW,USD,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,470.4,0.00%,8.25%,8.25%,10,2019,,
No code available,Simponi 100mg PFP,KW,USD,"1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90","1,136.90",0.00%,8.25%,8.25%,10,2019,,
,Symtuza,KW,USD,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,869,0.00%,8.25%,8.25%,10,2019,,
96046,Stugeron 25 mg Tab.,KW,USD,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,0.00%,8.25%,8.25%,10,2019,,
141021,Topamax 100 mg Tab.,KW,USD,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,0.00%,8.25%,8.25%,10,2019,,
412301,Topamax 15 mg Sprinkle Cap.,KW,USD,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,0.00%,8.25%,8.25%,10,2019,,
141023,Topamax 200 mg Tab.,KW,USD,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,69.68,0.00%,8.25%,8.25%,10,2019,,
412303,Topamax 25 mg Sprinkle Cap.,KW,USD,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,0.00%,8.25%,8.25%,10,2019,,
141016,Topamax 25 mg Tab.,KW,USD,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,0.00%,8.25%,8.25%,10,2019,,
412305,Topamax 50 mg Sprinkle Cap.,KW,USD,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,0.00%,8.25%,8.25%,10,2019,,
141019,Topamax 50 mg Tab.,KW,USD,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,0.00%,8.25%,8.25%,10,2019,,
,Tracleer 125mg,KW,USD,"1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00",0.00%,8.25%,8.25%,10,2019,,
,Tracleer 62.5mg,KW,USD,"1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00","1,843.00",0.00%,8.25%,8.25%,10,2019,,
418626,Trevicta 175mg (50mg eq.),KW,USD,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,563.33,0.00%,8.25%,8.25%,10,2019,,
418624,Trevicta 263mg (75mg eq.) ,KW,USD,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,746.93,0.00%,8.25%,8.25%,10,2019,,
418623,Trevicta 360mg (100mg eq.) ,KW,USD,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,952.11,0.00%,8.25%,8.25%,10,2019,,
418621,Trevicta 525mg (150mg eq.) ,KW,USD,"1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37","1,387.37",0.00%,8.25%,8.25%,10,2019,,
,Uptravi,KW,USD,"4,848.00","2,777.00","2,777.00","2,777.00","4,848.00","2,777.00","2,777.00","2,777.00","4,848.00","2,777.00","2,777.00","2,777.00","4,848.00","2,777.00","2,777.00","2,777.00","4,848.00","2,777.00","2,777.00","2,777.00","4,848.00","2,777.00","2,777.00","2,777.00",0.00%,8.25%,8.25%,10,2019,,
414963,Velcade Injection 3.5 mg,KW,USD,"1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00",991,991,991,991,991,991,991,991,991,991,991,991,0.00%,8.25%,8.25%,10,2019,,
96063,Vermox 100 mg Tab. 6s,KW,USD,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,0.00%,8.25%,8.25%,10,2019,,
96065,Vermox 100 mg Tab. 240's,KW,USD,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,0.00%,8.25%,8.25%,10,2019,,
96048,Vermox 500 mg Tab.,KW,USD,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.00%,8.25%,8.25%,10,2019,,
418302,Vokanamet 150/1000mg Tablets,KW,USD,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,0.00%,8.25%,8.25%,10,2019,,
418301,Vokanamet 150/850mg Tablets,KW,USD,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,0.00%,8.25%,8.25%,10,2019,,
418299,Vokanamet 50/1000mg Tablets,KW,USD,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,0.00%,8.25%,8.25%,10,2019,,
418298,Vokanamet 50/850mg Tablets,KW,USD,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,0.00%,8.25%,8.25%,10,2019,,
32461,Vermox 20 mg/ml Oral Susp.,KW,USD,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,0.00%,8.25%,8.25%,10,2019,,
385589,Yondelis 1 mg Injection ,KW,USD,"2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49","2,829.49",0.00%,8.25%,8.25%,10,2019,,
,Zavesca 84 cap 100mg ,KW,USD,"6,000.00","2,628.00","2,628.00","2,628.00","6,000.00","2,628.00","2,628.00","2,628.00","6,000.00","2,628.00","2,628.00","2,628.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00",0.00%,8.25%,8.25%,10,2019,,
414448,Zytiga 250 mg Tabs,KW,USD,"3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71",0.00%,8.25%,8.25%,10,2019,,
No code available,Zytiga 500 mg Tabs,KW,USD,"1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27","1,768.27",0.00%,8.25%,8.25%,10,2019,,
414287,Stelara 45mg/0.5ml ,OM,USD,"3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13",0.00%,8.25%,8.25%,10,2019,,
414288,Stelara 90mg/1ml ,OM,USD,"3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13",0.00%,8.25%,8.25%,10,2019,,
414050,Resolor 1 mg Film-Coated Tabs.,OM,USD,30.95,30.95,26.33,26.33,30.95,30.95,26.33,26.33,30.95,30.95,26.33,26.33,30.95,30.95,26.33,26.33,30.95,30.95,26.33,26.33,30.95,30.95,26.33,26.33,0.00%,8.25%,8.25%,10,2019,,
412041,Resolor 2 mg Film-Coated Tabs.,OM,USD,50.76,50.76,43.29,43.29,50.76,50.76,43.29,43.29,50.76,50.76,43.29,43.29,50.76,50.76,43.29,43.29,50.76,50.76,43.29,43.29,50.76,50.76,43.29,43.29,0.00%,8.25%,8.25%,10,2019,,
376595,Risperdal Consta 25 mg Inj.  ,OM,USD,116.79,116.79,116.79,116.79,116.79,116.79,116.79,116.79,116.79,116.79,116.79,116.79,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,0.00%,8.25%,8.25%,10,2019,,
376597,Risperdal Consta 50 mg Inj.  ,OM,USD,189.61,189.61,189.61,189.61,189.61,189.61,189.61,189.61,189.61,189.61,189.61,189.61,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,0.00%,8.25%,8.25%,10,2019,,
96063,Vermox 100 mg Tab. 6s,OM,USD,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,0.00%,8.25%,8.25%,10,2019,,
141021,Topamax 100 mg Tab.,OM,USD,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,39.09,0.00%,8.25%,8.25%,10,2019,,
141016,Topamax 25 mg Tab.,OM,USD,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,14.06,14.06,14.06,14.06,14.06,14.06,14.06,14.06,14.06,14.06,14.06,14.06,0.00%,8.25%,8.25%,10,2019,,
141019,Topamax 50 mg Tab.,OM,USD,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,0.00%,8.25%,8.25%,10,2019,,
385589,Yondelis 1 mg Injection ,OM,USD,"2,468.87","2,468.87","2,086.06","2,086.06","2,468.87","2,468.87","2,086.06","2,086.06","2,468.87","2,468.87","2,086.06","2,086.06","2,468.87","2,468.87","2,086.06","2,086.06","2,468.87","2,468.87","2,086.06","2,086.06","2,468.87","2,468.87","2,086.06","2,086.06",0.00%,8.25%,8.25%,10,2019,,
60345,Motilium 1 mg/ml Oral Suspension 100ml,OM,USD,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.00%,8.25%,8.25%,10,2019,,
32451,Motilium 1 mg/ml Oral Suspension 200ml,OM,USD,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0.00%,8.25%,8.25%,10,2019,,
418513,Motilium 10 mg Tab. 100s,OM,USD,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,0.00%,8.25%,8.25%,10,2019,,
96056,Motilium 10 mg Tab. 30s,OM,USD,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0.00%,8.25%,8.25%,10,2019,,
414696,Nizoral Cream 2 %,OM,USD,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.00%,8.25%,8.25%,10,2019,,
376854,Risperdal 1mg Tab. 20s,OM,USD,15.27,15.27,15.27,15.27,15.27,15.27,15.27,15.27,15.27,15.27,15.27,15.27,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,0.00%,8.25%,8.25%,10,2019,,
376855,Risperdal 2mg Tab. 20s,OM,USD,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,0.00%,8.25%,8.25%,10,2019,,
96552,Risperdal 2mg Tab. 60s,OM,USD,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,29.27,29.27,29.27,29.27,29.27,29.27,29.27,29.27,29.27,29.27,29.27,29.27,0.00%,8.25%,8.25%,10,2019,,
376856,Risperdal 3mg Tab. 20s,OM,USD,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,0.00%,8.25%,8.25%,10,2019,,
96327,Risperdal 4mg Tab. 20s,OM,USD,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,34.89,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,0.00%,8.25%,8.25%,10,2019,,
96569,Risperdal 4mg Tab. 60s,OM,USD,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,0.00%,8.25%,8.25%,10,2019,,
376596,Risperdal Consta 37.5 mg Inj. ,OM,USD,154.05,154.05,154.05,154.05,154.05,154.05,154.05,154.05,154.05,154.05,154.05,154.05,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,0.00%,8.25%,8.25%,10,2019,,
376935,Sporanox 100 mg Cap. 15s,OM,USD,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,0.00%,8.25%,8.25%,10,2019,,
96489,Sporanox 100 mg Cap. 4s,OM,USD,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,0.00%,8.25%,8.25%,10,2019,,
96046,Stugeron 25 mg Tab.,OM,USD,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,0.00%,8.25%,8.25%,10,2019,,
